the	16991703
of	10825436
and	7918160
to	7234929
in	7074524
a	6197623
is	4457812
The	3472414
1	3085361
on	3027680
2011	2880482
for	2878911
was	2681247
X	2537689
s	2490005
as	2467548
that	2462010
0	2375754
User	2329883
2012	2283740
by	2245627
I	2070155
2	2046360
talk	2029147
UTC	2029127
with	1958250
COIBot	1867267
link	1844515
be	1829475
align	1696334
not	1675939
from	1674086
domain	1660352
date	1595348
at	1590937
title	1589873
it	1588192
3	1485849
this	1411951
an	1405789
page	1398261
L	1375224
.	1362976
U	1312668
cite	1296638
OtherLinks	1291969
UL	1284000
WUL	1282594
5	1222738
or	1172972
4	1154720
are	1133122
6	942953
accessdate	927575
his	901905
have	868156
article	861766
10	847923
has	845148
flagicon	823710
first	818313
center	817476
he	811128
publisher	802766
web	786102
but	776417
11	749443
12	725974
2010	725695
left	719897
name	707872
In	700561
OF	695103
7	691237
t	687986
also	685197
20	677749
It	653293
which	644438
15	637773
8	637057
A	633247
discussion	624858
id	621129
RD1	580735
14	577424
16	574553
13	571423
May	561854
18	559670
17	555882
been	550306
This	545100
19	541027
August	540216
July	531915
21	531096
9	523792
April	521538
no	521102
