the	16991756
of	10825456
and	7918205
to	7235360
in	7074582
a	6197929
is	4458119
The	3473123
1	3085563
on	3027752
2011	2880616
for	2879089
was	2683136
X	2579793
s	2490311
as	2468183
that	2465627
0	2375916
User	2375884
2012	2283882
by	2245676
I	2070535
2	2046611
talk	2037613
UTC	2031005
with	1962544
link	1946961
COIBot	1869204
be	1830427
align	1701019
domain	1697262
not	1678410
from	1674949
title	1603834
date	1598075
at	1591704
it	1591594
3	1486085
page	1439797
this	1421433
L	1419313
an	1406845
.	1362997
U	1351324
OtherLinks	1306116
UL	1301726
WUL	1301310
cite	1300267
5	1223115
or	1183134
4	1154850
are	1134742
6	943067
accessdate	931507
his	911550
web	900909
have	888804
flagicon	879084
article	867045
publisher	861253
center	861250
left	860805
has	853800
10	848020
he	825852
first	825027
t	824366
name	794800
you	790365
but	784850
which	779515
11	749497
12	726062
2010	725924
id	712389
discussion	703811
In	701124
time	698848
OF	697081
should	694352
7	691505
also	688003
20	677791
It	654416
no	651287
–	646165
15	637820
8	637307
made	636421
A	633629
one	609888
RD1	603823
were	583727
14	577466
May	577072
16	574577
13	571462
image	569239
been	565540
18	559691
