the	16991703
of	10825436
and	7918160
to	7235322
in	7074525
a	6197915
is	4458116
The	3472484
1	3085361
on	3027738
2011	2880484
for	2879082
was	2683134
X	2579787
s	2490298
as	2467785
that	2465625
User	2375880
0	2375754
2012	2283842
by	2245662
I	2070449
2	2046381
talk	2037605
UTC	2031005
with	1962540
link	1946960
COIBot	1869204
be	1830424
align	1701019
domain	1697262
not	1678407
from	1674411
title	1603834
date	1598071
at	1591693
it	1591586
3	1485860
page	1439793
this	1421433
L	1419300
an	1406842
.	1362976
U	1351323
OtherLinks	1306116
UL	1301726
WUL	1301310
cite	1300267
5	1222953
or	1183133
4	1154723
are	1134741
6	942956
accessdate	931507
his	911550
web	900909
have	888804
flagicon	879084
article	867045
publisher	861252
center	861249
left	860805
has	853795
10	847923
he	825851
first	825026
t	824366
name	794798
you	790364
but	784850
which	779514
11	749443
12	725974
2010	725780
id	712389
discussion	703811
In	701028
time	698840
OF	697081
should	694352
7	691415
also	688003
20	677757
It	654379
no	651278
–	645876
15	637773
8	637240
made	636421
A	633523
one	609885
RD1	603823
were	583727
14	577424
May	577057
16	574553
13	571423
image	569239
been	565540
18	559670
