the	16991756
and	7918205
The	3473123
for	2879089
was	2683136
UTC	2031005
not	1678410
WUL	1301310
are	1134742
his	911550
web	900909
has	853800
you	790365
but	784850
one	609888
RD1	603823
May	577072
New	509148
can	508149
who	502479
all	466568
box	462381
had	434284
its	405562
two	359091
RD2	346156
her	332762
use	331595
new	327414
it.	317442
any	311462
out	291656
see	287218
may	256073
top	244299
yes	240273
she	218741
Non	216003
don	199324
row	190001
See	189442
SET	186668
You	182527
him	179593
end	179207
USA	175030
100	169665
RD3	168557
now	165744
pos	164393
000	163463
age	161135
For	160238
how	158948
dif	151918
way	149629
All	148837
She	141595
nat	138077
get	137846
amp	136848
did	135320
non	134910
War	133815
won	133721
url	129530
col	129147
off	127842
Cup	125515
per	124055
One	119407
own	119325
And	117032
Use	113229
St.	107728
...	102313
day	101586
His	100257
San	99645
say	96300
few	95649
But	95333
old	95116
lat	91278
set	90663
Log	90566
log	88856
doi	85483
ENG	83899
why	83393
due	79246
too	78383
our	77520
lon	76806
add	76068
art	74491
Air	73826
1st	73206
RD4	73084
AfD	72730
